#Natural Disasters ;;;;;;;;;;;;;;x
hit_by_a_meteor;[Root.Location.GetName] is hit by a meteor!;[Root.Location.GetName] est touché par un météore !;;;;;;;;;;x
VIETdisaster.0.desc;I was in the middle of my business when I was interrupted by a deafening sound. I rush to the nearest window, and the next thing I saw was a blinding flash of fiery light.;J'étais au milieu de mes affaires quand j'ai été interrompu par un son assourdissant. Je me précipite à la fenêtre la plus proche, et la prochaine chose que j'ai vue était un flash aveuglant de lumière ardente.;;;;;;;;;;x
VIETdisaster.0.a;WHAT IN THE NAME OF OBLIVION IS THAT -;MAIS QU'EST CE QUE C'EST QUE -;;;;;;;;;;x
VIETdisaster.1.title;A Fiery Ball of Death;Une boule ardente de la mort;;;;;;;;;;x
VIETdisaster.1.desc;In all the years of recorded history, there has never been a calamity as terrible as this one. [From.Location.GetName] has been struck by a large, fiery ball of death, a meteor - so large and bright that there are rumors that even the people of Cathay and Nippon witnessed it.\n\nThousands and thousands are dead, entire settlements have been leveled, fires rage across the land, and a massive dark cloud of ash and smoke cover the region. Those unfortunate enough to survive will have to deal with the unrest and anarchy that follow in the wake of such a disaster, but how can anyone rebuild after this?\n\nThere are now some that even say the apocalypse is upon us!;Dans toutes les années de l'histoire enregistrée, il n'y a jamais eu une calamité aussi terrible que celle-ci. [From.Location.GetName] a été frappé par une grosse boule ardente de la mort,  un météore - si grand et lumineux qu'il y a des rumeurs que même les gens de Cathay et du Nippon en ont été témoins.\n\nDes milliers et des milliers de personnes sont mortes, des villages entiers ont été rasés, des incendies font rage à travers le pays, et un nuage massif et sombre de cendres et de fumée couvre la région. Ceux qui ont eu la malchance de survivre devront faire face aux troubles et à l'anarchie qui suivent à la suite d'un tel désastre, mais comment peut-on reconstruire après cela ?\n\nIl y a maintenant des gens qui disent même que l'apocalypse est sur nous !;;;;;;;;;;x
VIETdisaster.1.a;Terrible! May [Root.Religion.GetHighGodName] bless their souls.;Horrible ! Que [Root.Religion.GetHighGodName] bénisse leurs âmes.;;;;;;;;;;x
VIETdisaster.2.desc;[From.Location.GetName] has been the very target of a large meteor impact. The dead are in the tens if not hundreds of thousands, and the destruction is massive. Even after we deal with the influx of refugees and any clean-up attempts, [From.Location.GetName] will suffer for years to come.;[From.Location.GetName] a été la cible d'un grand impact de météorite. Les morts se comptent par dizaines, voire par centaines de milliers, et les destructions sont massives. Même après l'afflux de réfugiés et toutes les tentatives de nettoyage, [From.Location.GetName] en souffrira pendant des années.;;;;;;;;;;x
VIETdisaster.2.a;How could this happen?;Comment cela a-t-il pu se produire ?;;;;;;;;;;x
killed_by_meteors;It's certain that many currently in [From.Location.GetName] - some of your courtiers, vassals, family members, and even you yourself - are among the dead or injured.;Il est certain que beaucoup de ceux qui se trouvent actuellement à [From.Location.GetName] - certains de vos courtisans, vassaux, membres de votre famille et même vous-même - sont parmi les morts ou les blessés.;;;;;;;;;;x
killed_by_meteors_distant;Although [Root.Location.GetName] wasn't directly hit by the meteor, it did suffer in the aftermath. It's possible that many currently there - some of your courtiers, vassals, family members, and even you yourself - are among the dead or injured.;Bien que [Root.Location.GetName] n'ait pas été directement touché par le météore, il a souffert dans les suites. Il est possible que beaucoup d'entre vous - certains de vos courtisans, vassaux, membres de votre famille et même vous-même - soient parmi les morts ou les blessés.;;;;;;;;;;x
VIETdisaster.3.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.3.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.4.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.4.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.5.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.5.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.6.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.6.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.7.desc;Before anybody has time to react, there is a huge explosion. You awake moments later in the middle of a large field of rubble, corpses, and raging fires. Unfortunately, it seems you have nasty cuts and wounds, and while it hurts, you quickly realize you were lucky to be alive, or, even better, with all your body parts intact.;Avant que quelqu'un ait le temps de réagir, il y a une énorme explosion. Vous vous réveillez quelques instants plus tard au milieu d'un grand champ de décombres, de cadavres et de feux déchaînés. Malheureusement, il semble que vous ayez de vilaines coupures et blessures, et pendant que ça fait mal, vous réalisez rapidement que vous avez eu de la chance d'être en vie, ou, mieux encore, avec toutes les parties de votre corps intactes.;;;;;;;;;;x
VIETdisaster.7.a;You wander aimlessly, hoping to find any other survivors.;Vous errez sans but, espérant trouver d'autres survivants.;;;;;;;;;;x
VIETdisaster.8.desc;Before anybody has time to react, there is a huge explosion. You awake moments later in the middle of a large field of rubble, corpses, and raging fires, feeling great pain. It appears you've been maimed! However, you know in your heart it could've been worse. Thankfully a few other survivors nearby hear your cries and groans, and they help pull you out of the rubble.;Avant que quelqu'un ait le temps de réagir, il y a une énorme explosion. Vous vous réveillez quelques instants plus tard au milieu d'un grand champ de décombres, de cadavres et de feux déchaînés, ressentant une grande douleur. On dirait que vous avez été mutilé ! Cependant, vous savez au fond de votre cœur que ça aurait pu être pire. Heureusement, quelques autres survivants à proximité entendent vos cris et vos gémissements, et ils vous aident à sortir des décombres.;;;;;;;;;;x
VIETdisaster.8.a;You all wander aimlessly, hoping to find any other survivors.;Vous errez sans but, espérant trouver d'autres survivants.;;;;;;;;;;x
VIETdisaster.9.desc;Before anybody has time to react, there is a huge explosion. The last thing you see is a blinding light.;Avant que quelqu'un ait le temps de réagir, il y a une énorme explosion. La dernière chose que vous voyez est une lumière aveuglante.;;;;;;;;;;x
VIETdisaster.9.a;AAAGGGHHHHH!;AAAGGGHHHHH !;;;;;;;;;;x
VIETdisaster.10.desc;You saw the fiery ball of destruction as it fell. Just as you and your companions try to comprehend what just happened, a large cloud of smoke and ash appear. You all try to run away as it approaches, but to no avail. In the ensuing chaos, you injure yourself, though when the cloud clears you thank [Root.Religion.GetRandomGodName] that it was a simple wound, and nothing worse.;Vous avez vu la boule de destruction enflammée quand elle est tombée. Tout comme vous et vos compagnons essayez de comprendre ce qui vient de se passer, un grand nuage de fumée et de cendres apparaît. Vous essayez tous de fuir à mesure qu'il s'approche, mais en vain. Dans le chaos qui s'ensuit, vous vous blessez, bien que lorsque le nuage se dissipe, vous remerciez [Root.Religion.GetRandomGodName] que c'était une simple blessure, et rien de pire.;;;;;;;;;;x
VIETdisaster.10.a;You try to find other survivors.;Vous essayez de trouver d'autres survivants.;;;;;;;;;;x
VIETdisaster.11.desc;You saw the fiery ball of destruction as it fell. Just as you and your companions try to comprehend what just happened, a large cloud of smoke and ash appear. You all try to run away as it approaches, but to no avail. In the ensuing chaos, you injure yourself badly. As the cloud clears, you realize due to your injuries you can no longer move properly.;Vous avez vu la boule de destruction enflammée quand elle est tombée. Tout comme vous et vos compagnons essayez de comprendre ce qui vient de se passer, un grand nuage de fumée et de cendres apparaît. Vous essayez tous de fuir à mesure qu'il s'approche, mais en vain. Dans le chaos qui s'ensuit, vous vous blessez gravement. Au fur et à mesure que le nuage se dissipe, vous réalisez qu'en raison de vos blessures, vous ne pouvez plus bouger correctement.;;;;;;;;;;x
VIETdisaster.11.a;You are helped to your feet by other survivors.;Vous êtes aidé pour vos pieds par d'autres survivants.;;;;;;;;;;x
VIETdisaster.12.desc;You saw the fiery ball of destruction as it fell. Just as you and your companions try to comprehend what just happened, a large cloud of smoke and ash appear. You all try to run away as it approaches, but to no avail. The last thing you see is the grey soot blowing in your face, and the last thing you feel is an indescribably powerful force slamming into your body.;Vous avez vu la boule de destruction enflammée quand elle est tombée. Tout comme vous et vos compagnons essayez de comprendre ce qui vient de se passer, un grand nuage de fumée et de cendres apparaît. Vous essayez tous de fuir à mesure qu'il s'approche, mais en vain. La dernière chose que vous voyez est la suie grise qui vous souffle au visage, et la dernière chose que vous ressentez est une force indescriptiblement puissante qui frappe votre corps.;;;;;;;;;;x
VIETdisaster.12.a;AAAGGGHHHHH!;AAAGGGHHHHH !;;;;;;;;;;x
VIETdisaster.13.desc;Before anybody has time to react, there is a huge explosion. You awake moments later in the middle of a large field of rubble, corpses, and raging fires. Though you have some minor bruises and cuts, and you are temporarily blinded by all the dust, you emerge relatively unscathed.;Avant que quelqu'un ait le temps de réagir, il y a une énorme explosion. Vous vous réveillez quelques instants plus tard au milieu d'un grand champ de décombres, de cadavres et de feux déchaînés. Bien que vous ayez quelques contusions et coupures mineures, et que vous soyez temporairement aveuglé par toute la poussière, vous en sortez relativement indemne.;;;;;;;;;;x
VIETdisaster.13.a;You later find out you were very lucky, perhaps protected by [Root.Religion.GetRandomGodName].;Vous découvrirez plus tard que vous avez eu beaucoup de chance, peut-être protégé par [Root.Religion.GetRandomGodName].;;;;;;;;;;x
VIETdisaster.14.desc;You saw the fiery ball of destruction as it fell. Just as you and your companions try to comprehend what just happened, a large cloud of smoke and ash appear. You all try to run away as it approaches, but to no avail. Thankfully you were unharmed as the cloud clears - you're just covered in dust and ash - but others weren't so lucky.;Avant que quelqu'un ait le temps de réagir, il y a une énorme explosion. Tout comme vous et vos compagnons essayez de comprendre ce qui vient de se passer, un grand nuage de fumée et de cendres apparaît. Vous essayez tous de fuir à mesure qu'il s'approche, mais en vain. Heureusement, vous n'avez pas été blessé lorsque le nuage s'est dissipé - vous êtes juste couvert de poussière et de cendres - mais d'autres n'ont pas eu autant de chance.;;;;;;;;;;x
VIETdisaster.14.a;You just know this is going to be a long day...;Vous savez juste que ça va être une longue journée...;;;;;;;;;;x
VIET_meteor_survivor;Some of the other survivors report witnessing a large ball of fire descend from the heavens onto earth. Could this be the end times?;Certains des autres survivants rapportent avoir vu une grande boule de feu descendre des cieux sur la terre. Serait-ce la fin des temps ?;;;;;;;;;;x
VIET_not_meteor_survivor;A meteor strikes!;Un météore frappe !;;;;;;;;;;x
VIETdisaster.15.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.15.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.16.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.16.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.17.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.17.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.18.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.18.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.19.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.19.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.20.desc;Flames reaching as high as the sky and large clouds of smoke are coming out of a mountain in [Root.GetName].;Des flammes aussi hautes que le ciel et de grands nuages de fumée sortent d'une montagne à [Root.GetName].;;;;;;;;;;x
VIETdisaster.20.a;The volcano is erupting!;Le volcan est en éruption !;;;;;;;;;;x
VIETdisaster.21.title;The Volcano in [VIET_volcano_victim.GetName];Le volcan de [VIET_volcano_victim.GetName];;;;;;;;;;x
VIETdisaster.21.desc;Terrible news from [VIET_volcano_victim.GetName], as a calamity of unmatched proportions has struck there.\n\nWalls of fire, lava, and ash have descended upon the unfortunate inhabitants of the region as one of the local volcanoes have erupted. Hundreds have died, and though many more have survived, there has been massive destruction to property, crops, and livestock. It is likely that hundreds more, particularly refugees fleeing from the disaster, will die due to starvation and the health effects of this.;De terribles nouvelles de [VIET_volcano_victim.GetName], comme une calamité d'une ampleur inégalée y a frappé. Des murs de feu, de lave et de cendres sont tombés sur les malheureux habitants de la région alors que l'un des volcans locaux a fait éruption. Des centaines de personnes sont mortes, et même si beaucoup d'autres ont survécu, il y a eu des destructions massives de biens, de récoltes et de bétail. Il est probable que des centaines d'autres, en particulier les réfugiés fuyant la catastrophe, mourront à cause de la faim et de ses effets sur la santé.;;;;;;;;;;x
VIETdisaster.21.a;I pray for their souls!;Je prie pour leur âme !;;;;;;;;;;x
VIETdisaster.22.desc;Although [Root.GetName] wasn't directly affected by the volcanic eruption in [VIET_volcano_victim.GetName], the clouds of smoke have nevertheless spread to the area. This will surely affect the crops and livestock in the area and cause famine and other sorts of upheaval.;Bien que [Root.GetName] n'ait pas été directement affecté par l'éruption volcanique à [VIET_volcano_victim.GetName], les nuages de fumée se sont néanmoins propagés dans la région. Cela affectera certainement les cultures et le bétail dans la région et causera la famine et d'autres sortes de bouleversements.;;;;;;;;;;x
VIETdisaster.22.a;This isn't good news at all!;Ce n'est pas du tout une bonne nouvelle !;;;;;;;;;;x
VIETdisaster.23.desc;You can see the volcano from far away, as if hell itself was invading the earth! Thankfully, you manage to flee - though you have suffered some injuries, you manage to arrive in a safe part of [VIET_volcano_victim.GetName], and are glad to be alive.;Vous pouvez voir le volcan de loin, comme si l'enfer lui-même envahissait la terre ! Heureusement, vous réussissez à fuir - bien que vous ayez subi quelques blessures, vous arrivez dans une partie sûre de [VIET_volcano_victim.GetName], et vous êtes heureux d'être en vie.;;;;;;;;;;x
VIETdisaster.23.a;Praise be to [Root.Religion.GetRandomGodName]!;Louons [Root.Religion.GetRandomGodName]!;;;;;;;;;;x
VIETdisaster.23.b;It is my duty to help others!;C'est mon devoir d'aider les autres !;;;;;;;;;;x
VIET_volcano_coward;You flee! Although you are nothing but a coward, your lack of bravery is understandable.;Vous fuyez ! Bien que vous ne soyez rien d'autre qu'un lâche, votre manque de bravoure est compréhensible.;;;;;;;;;;x
VIET_volcano_rescue_others;Like a heroic king of old, you risk your life to protect the very people you rule over!;Comme un roi héroïque, vous risquez votre vie pour protéger les gens que vous dirigez !;;;;;;;;;;x
VIET_volcano_good_hero;Your efforts will not go unappreciated, as you certainly saved many lives today.;Vos efforts ne passeront pas inaperçus, car vous avez certainement sauvé de nombreuses vies aujourd'hui.;;;;;;;;;;x
VIET_volcano_great_hero;There will be no cowardice today, only courage and nobility of heart! If we die, we die as heroes!;Il n'y aura pas de lâcheté aujourd'hui, seulement du courage et de la noblesse de cœur ! Si nous mourons, nous mourons en héros !;;;;;;;;;;x
VIET_volcano_hero_flee;You turn around and run for your life.;Vous vous retournez et courez pour sauver votre vie.;;;;;;;;;;x
VIETdisaster.24.desc;You saw the volcano erupt with your own eyes, as if hell itself was invading the earth! Thankfully, you manage to flee - though the journey was perilous, and you almost got caught in a cloud of ash at one point, you manage to arrive in a safe part of [VIET_volcano_victim.GetName] without any serious injuries.;Vous avez vu le volcan entrer en éruption de vos propres yeux, comme si l'enfer lui-même envahissait la terre ! Heureusement, vous réussissez à fuir - bien que le voyage ait été périlleux et que vous ayez failli être pris dans un nuage de cendres à un moment donné, vous arrivez dans une partie sûre de [VIET_volcano_victim.GetName] sans aucune blessure grave.;;;;;;;;;;x
VIETdisaster.24.a;Thank [Root.Religion.GetRandomGodName]!;Grâce à [Root.Religion.GetRandomGodName] !;;;;;;;;;;x
VIETdisaster.25.desc;You can see the volcano from far away, as if hell itself was invading the earth! Unfortunately, in the midst of the chaos, you were too slow, and the cloud of smoke and ash caught up with you - your eyes are blinded and you start choking as you suffocate to death.;Vous avez vu le volcan entrer en éruption de vos propres yeux, comme si l'enfer lui-même envahissait la terre ! Malheureusement, au milieu du chaos, vous étiez trop lent, et le nuage de fumée et de cendres vous a rattrapé - vos yeux sont aveuglés et vous commencez à vous étouffer alors que vous suffoquez jusqu'à la mort.;;;;;;;;;;x
VIETdisaster.25.a;NOOOOO -;NOOOOON -;;;;;;;;;;x
VIETdisaster.26.desc;You and a group of volunteers make your way into the local settlements, warning people of the calamity, pointing out the best place to flee, helping those such as the elderly and disabled make their way to safety. Unfortunately, there is only so much you can do. It's only a matter of time now before the clouds of smoke and ash catch up with you!;Vous et un groupe de volontaires se frayez un chemin dans les villages locaux, avertissant les gens de la calamité, indiquant le meilleur endroit pour fuir, aidant ceux comme les personnes âgées et les handicapés à se mettre à l'abri. Malheureusement, il y a une limite à ce que vous pouvez faire. Ce n'est plus qu'une question de temps avant que les nuages de fumée et de cendres ne vous rattrapent !;;;;;;;;;;x
VIETdisaster.26.a;Alright, let us go now! We've done all we can.;D'accord, allons-y maintenant ! On a fait tout ce qu'on pouvait.;;;;;;;;;;x
VIETdisaster.26.b;No! There are still others to be rescued!;Non ! Il y en a encore d'autres à sauver !;;;;;;;;;;x
VIETdisaster.27.desc;You and a few courageous men brave continue making your way around the area, saving as many lives as you can. But alas, the cloud of smoke and ash is about to descend upon you!;Vous et quelques hommes courageux et courageux continuez à vous frayer un chemin dans la région, sauvant ainsi autant de vies que possible. Mais hélas, le nuage de fumée et de cendres est sur le point de descendre sur vous !;;;;;;;;;;x
VIETdisaster.27.a;Run for it! Run for it!;Fuyez ! Fuyez !;;;;;;;;;;x
VIETdisaster.28.desc;By some sort of miracle, even though the cloud of ash and smoke was just about to devour you and your companions, you all somehow managed to run away from it. Maybe [Root.Religion.GetRandomGodName], seeing your heroic, noble deeds, blessed you with speed, or slowed down the incoming cloud.;Par une sorte de miracle, même si le nuage de cendres et de fumée était sur le point de vous dévorer, vous et vos compagnons, vous avez tous réussi à vous enfuir. Peut-être que [Root.Religion.GetRandomGodName], voyant vos actes héroïques et nobles, vous a béni avec la vitesse, ou a ralenti le nuage.;;;;;;;;;;x
VIETdisaster.28.a;We're alive! We're alive!;Nous sommes vivants ! Nous sommes vivants !;;;;;;;;;;x
VIETdisaster.29.desc;Too late! Before you know it, you start suffocating and your organs start failing. However, you are glad that you were able to save a few people - surely your sacrifice was not in vain, and you shall live on in the hearts and minds of those you rescued!;Trop tard ! Avant de vous en rendre compte, vous commencez à suffoquer et vos organes commencent à défaillir. Cependant, vous êtes heureux d'avoir pu sauver quelques personnes - votre sacrifice n'a certainement pas été vain, et vous vivrez dans le cœur et l'esprit de ceux que vous avez sauvés !;;;;;;;;;;x
VIETdisaster.29.a;[Root.Religion.GetRandomGodName] knows I die with no regrets!;[Root.Religion.GetRandomGodName] sait que je meurs sans regrets !;;;;;;;;;;x
VIETdisaster.30.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.30.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.31.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.31.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.32.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.32.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.33.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.33.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.34.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.34.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.35.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.35.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.36.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.36.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.37.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.37.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.38.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.38.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.39.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.39.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.40.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.40.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.41.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.41.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.42.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.42.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.43.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.43.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.44.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.44.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.45.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.45.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.46.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.46.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.47.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.47.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.48.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.48.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.49.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.49.a;xxxxx;xxxxx;;;;;;;;;;x
