#Shaman Stuff ;;;;;;;;;;;;;;x
shaman_good_marriage;Ancestors' Foresight on Marriage (Good);Prévision des ancêtres sur le mariage (Bonne);;;;;;;;;;;;x
shaman_good_marriage_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's marriage.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne le mariage de ce seigneur.;;;;;;;;;;;;x
shaman_bad_marriage;Ancestors' Foresight on Marriage (Bad);Prévision des ancêtres sur le mariage (Mauvaise);;;;;;;;;;;;x
shaman_bad_marriage_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's marriage.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne le mariage de ce seigneur.;;;;;;;;;;;;x
shaman_good_no_spouse;Ancestors' Foresight on Being Married in the Future (Good);Prévision des ancêtres sur le mariage dans l'avenir (Bonne);;;;;;;;;;;;x
shaman_good_no_spouse_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's future marriage prospects.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les perspectives futures de mariage de ce seigneur.;;;;;;;;;;;;x
shaman_bad_no_spouse;Ancestors' Foresight on Being Married in the Future (Bad);Prévision des ancêtres sur le mariage dans l'avenir (Mauvaise);;;;;;;;;;;;x
shaman_bad_no_spouse_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's future marriage prospects.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les perspectives futures de mariage de ce seigneur.;;;;;;;;;;;;x
shaman_good_children;Ancestors' Foresight on Children (Good);Prévision des ancêtres sur les enfants (Bonne);;;;;;;;;;;;x
shaman_good_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's children.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les enfants de ce seigneur.;;;;;;;;;;;;x
shaman_bad_children;Ancestors' Foresight on Children (Bad);Prévision des ancêtres sur les enfants (Mauvaise);;;;;;;;;;;;x
shaman_bad_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's children.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les enfants de ce seigneur.;;;;;;;;;;;;x
shaman_good_no_children;Ancestors' Foresight on Having Children (Good);Prévision des ancêtres sur le fait d'avoir des enfants (Bonne);;;;;;;;;;;;x
shaman_good_no_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's future offspring.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne la progéniture future de ce seigneur.;;;;;;;;;;;;x
shaman_bad_no_children;Ancestors' Foresight on Having Children (Bad);Prévision des ancêtres sur le fait d'avoir des enfants (Mauvaise);;;;;;;;;;;;x
shaman_bad_no_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's future offspring.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne la progéniture future de ce seigneur.;;;;;;;;;;;;x
shaman_good_distant_relative;Ancestors' Foresight on Dynasty (Good);Prévision des ancêtres sur la dynastie (Bonne);;;;;;;;;;;;x
shaman_good_distant_relative_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's dynasty.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne la dynastie de ce seigneur.;;;;;;;;;;;;x
shaman_bad_distant_relative;Ancestors' Foresight on Dynasty (Bad);Prévision des ancêtres sur la dynastie (Mauvaise);;;;;;;;;;;;x
shaman_bad_distant_relative_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's dynasty.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne la dynastie de ce seigneur.;;;;;;;;;;;;x
shaman_good_diplomacy;Ancestors' Foresight on Diplomatic Relations (Good);Prévision des ancêtres sur les relations diplomatiques (Bonne);;;;;;;;;;;;x
shaman_good_diplomacy_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's diplomatic relations with vassals and servants.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les relations diplomatiques de ce seigneur avec les vassaux et les serviteurs.;;;;;;;;;;;;x
shaman_bad_diplomacy;Ancestors' Foresight on Diplomatic Relations (Bad);Prévision des ancêtres sur les relations diplomatiques (Mauvaise);;;;;;;;;;;;x
shaman_bad_diplomacy_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's diplomatic relations with vassals and servants.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les relations diplomatiques de ce seigneur avec les vassaux et les serviteurs.;;;;;;;;;;;;x
shaman_good_martial;Ancestors' Foresight on Martial Affairs (Good);Prévision des ancêtres sur les affaires martiales (Bonne);;;;;;;;;;;;x
shaman_good_martial_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's military affairs.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les affaires militaires de ce seigneur.;;;;;;;;;;;;x
shaman_bad_martial;Ancestors' Foresight on Martial Affairs (Bad);Prévision des ancêtres sur les affaires martiales (Mauvaise);;;;;;;;;;;;x
shaman_bad_martial_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's military affairs.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les affaires militaires de ce seigneur.;;;;;;;;;;;;x
shaman_good_stewardship;Ancestors' Foresight on Administration (Good);Prévision des ancêtres sur l'administration (Bonne);;;;;;;;;;;;x
shaman_good_stewardship_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's administration.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne l'administration de ce seigneur.;;;;;;;;;;;;x
shaman_bad_stewardship;Ancestors' Foresight on Administration (Bad);Prévision des ancêtres sur l'administration (Mauvaise);;;;;;;;;;;;x
shaman_bad_stewardship_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's administration.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne l'administration de ce seigneur.;;;;;;;;;;;;x
shaman_good_intrigue;Ancestors' Foresight on Court Intrigue (Good);Prévision des ancêtres sur Intrigue de la Cour (Bonne);;;;;;;;;;;;x
shaman_good_intrigue_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's ability to deal with plotting and scheming at court.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne la capacité de ce seigneur à faire face au complot et aux intrigues à la cour.;;;;;;;;;;;;x
shaman_bad_intrigue;Ancestors' Foresight on Court Intrigue (Bad);Prévision des ancêtres sur Intrigue de la Cour (Mauvaise);;;;;;;;;;;;x
shaman_bad_intrigue_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's ability to deal with plotting and scheming at court.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne la capacité de ce seigneur à faire face au complot et aux intrigues à la cour.;;;;;;;;;;;;x
shaman_good_learning;Ancestors' Foresight on Spirituality Across the Realm (Good);Prévision des ancêtres sur la spiritualité à travers le royaume (Bonne);;;;;;;;;;;;x
shaman_good_learning_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's ability to satisfy the people's spiritual needs.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne la capacité de ce seigneur à satisfaire les besoins spirituels du peuple.;;;;;;;;;;;;x
shaman_bad_learning;Ancestors' Foresight on Spirituality Across the Realm (Bad);Prévision des ancêtres sur la spiritualité à travers le royaume (Mauvaise);;;;;;;;;;;;x
shaman_bad_learning_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's ability to satisfy the people's spiritual needs.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne la capacité de ce seigneur à satisfaire les besoins spirituels du peuple.;;;;;;;;;;;;x
shaman_good_personality;Ancestors' Foresight on Self (Good);Prévision des ancêtres sur soi (Bonne);;;;;;;;;;;;x
shaman_good_personality_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's potential as a fulfilled person.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne le potentiel de ce seigneur en tant que personne accomplie.;;;;;;;;;;;;x
shaman_bad_personality;Ancestors' Foresight on Self (Bad);Prévision des ancêtres sur soi (Mauvaise);;;;;;;;;;;;x
shaman_bad_personality_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's potential as a fulfilled person.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne le potentiel de ce seigneur en tant que personne accomplie.;;;;;;;;;;;;x
shaman_good_health;Ancestors' Foresight on Health (Good);Prévision des ancêtres sur la santé (Bonne);;;;;;;;;;;;x
shaman_good_health_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's health.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne la santé de ce seigneur.;;;;;;;;;;;;x
shaman_bad_health;Ancestors' Foresight on Health (Bad);Prévision des ancêtres sur la santé (Mauvaise);;;;;;;;;;;;x
shaman_bad_health_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's health.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne la santé de ce seigneur.;;;;;;;;;;;;x
shaman_young_age;Ancestors' Foresight on Young Age;Prévision des ancêtres sur la jeunesse;;;;;;;;;;;;x
shaman_young_age_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the things that they foresaw in regards to this lord's young age.;Le chaman de ce seigneur s'est récemment rendu dans le monde des Esprits et a donné des conseils appropriés concernant des choses qu'ils prévoyaient en ce qui concerne le jeune âge de ce seigneur.;;;;;;;;;;;;x
shaman_medium_age;Ancestors' Foresight on Middle Age;Prévision des ancêtres sur l'âge mûr;;;;;;;;;;;;x
shaman_medium_age_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the things that they foresaw in regards to this lord's middle age.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses qu'ils prévoyaient en ce qui concerne l'âge mûr de ce seigneur.;;;;;;;;;;;;x
shaman_old_age;Ancestors' Foresight on Old Age;Prévision des ancêtres sur la vieillesse;;;;;;;;;;;;x
shaman_old_age_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the things that they foresaw in regards to this lord's old age.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses qu'ils prévoyaient en ce qui concerne la vieillesse de ce seigneur.;;;;;;;;;;;;x
shaman.1.desc;Many worries, many fears, many thoughts cloud my mind. I feel the need for advice, for counsel, for guidance, to quiet these many things that trouble me. Yes, yes - I shall go to my Shaman, and see if my ancestors, the spirits, can be contacted for advice and foresight.;Beaucoup de soucis, beaucoup de peurs, beaucoup de pensées obscurcissent mon esprit. Je ressens le besoin d'avis, de conseils, d'orientation, de faire taire toutes ces choses qui me préoccupent. Oui, oui - Je vais aller voir mon chaman et voir si mes ancêtres, les esprits, peuvent être contactés pour obtenir des conseils et de la prévoyance.;;;;;;;;;;;;x
shaman.1.a;I must remember to bring the proper offerings to my Shaman.;Je dois me rappeler d'apporter les offrandes appropriées à mon chaman.;;;;;;;;;;;;x
shaman.2.tooltip;[Root.GetTitledFirstName] pays the Court Shaman a visit.;[Root.GetTitledFirstName] rend visite au Chaman de la Cour.;;;;;;;;;;;;x
shaman.2.name;Visiting the Shaman;Rend visite au chaman;;;;;;;;;;;;x
shaman.2.desc;“To heal your body and soul you must be earnest and pure,” your Shaman says, pacing around you with perfectly-timed, theatrical steps. “You come to me because you are troubled. There is nothing unusual in that. The responsibilities of any leader are many. The responsibilities of any [Root.GetManWoman] are many. There is great wisdom in humbling yourself and seeking guidance from the spirits.”\nThe Shaman pauses for a bit for dramatic effect, before subsequently saying, “I will try to communicate with your ancestors on your behalf. This is a difficult task, an arduous one, but I will try my best. Tell me first, then, of the things that trouble you.”;"Pour guérir votre corps et votre âme, vous devez être sérieux et pur", dit votre chaman, en vous faisant marcher autour de vous avec des pas théâtraux parfaitement synchronisés. "Vous venez vers moi parce que vous êtes troublé. Il n' y a rien d'inhabituel là-dedans. Les responsabilités de tout dirigeant sont nombreuses. Les responsabilités de toute [Root.GetManWoman] sont nombreuses. Il y a une grande sagesse à s'humilier et à demander conseil aux esprits."\nLe chaman s'interrompt un peu pour un effet dramatique, avant de dire par la suite : "Je vais essayer de communiquer avec vos ancêtres en votre nom. C'est une tâche difficile, ardue, mais je ferai de mon mieux. Dites-moi d'abord ce qui vous tracasse.";;;;;;;;;;;;x
shaman.2.a;“I am always worried about my family situation...”;"Je m'inquiète toujours de ma situation familiale...";;;;;;;;;;;;x
shaman.2.b;“My realm’s affairs are constantly on my mind...”;"Les affaires de mon royaume sont constamment dans ma tête...";;;;;;;;;;;;x
shaman.2.c;“The life I have feels incomplete for some reason...”;"La vie que j'ai me semble incomplète pour une raison quelconque...";;;;;;;;;;;;x
shaman.3a.tooltip;[Root.GetTitledFirstName] tells the Shaman about [Root.GetHerHim] problems with [Root.GetHerHim] family.;[Root.GetTitledFirstName] parle au chaman ses problèmes avec sa famille.;;;;;;;;;;;;x
shaman.3b.tooltip;[Root.GetTitledFirstName] tells the Shaman about [Root.GetHerHim] problems with the realm.;[Root.GetTitledFirstName] parle au chaman ses problèmes avec le royaume.;;;;;;;;;;;;x
shaman.3c.tooltip;[Root.GetTitledFirstName] tells the Shaman about [Root.GetHerHim] problems with [Root.GetHerHim]self.;[Root.GetTitledFirstName] parle au chaman ses propres problèmes.;;;;;;;;;;;;x
shaman.3.name;To the Spirit World;Dans le monde des Esprits;;;;;;;;;;;;x
shaman.3.desc;Your Shaman meticulously listens to your concerns, asking questions and noting any details as necessary, in preparation for the journey to the Spirit world. It takes your Shaman several days to prepare.\nAs the morning of that day dawns, you sit, quiet and respectful, behind the Shaman who carries a drum. With a dramatic flourish of the hand, the Shaman beats the drum - BOM. The gesture is repeated again, and again, with ever-increasing fury as the Shaman recites arcane spells and chants and goes into a trance - bom, bom, bom, BOM, BOM, BOM, BOM.\nAnd sooner than you realize it, the Shaman is lost in the Spirit world, seeking your ancestors. You hope that the Shaman will return safe and sound, with relevant guidance from the spirits.;Votre chaman écoute méticuleusement vos préoccupations, posant des questions et notant tous les détails si nécessaire, en préparation pour le voyage vers le monde des Esprits. Il faut plusieurs jours à votre chaman pour se préparer.\nAu petit matin de ce jour-là, vous êtes assis, calme et respectueux, derrière le chaman qui porte un tambour. Avec une explosion dramatique de la main, le chaman bat le tambour - BOM. Le geste se répète encore et encore, avec une fureur toujours croissante alors que le chaman récite des sorts et des chants arcanes et entre dans une transe - bom, bom, bom, bom, BOM, BOM, BOM, BOM. Et avant de vous en rendre compte, le chaman est perdu dans le monde des Esprits, cherchant vos ancêtres. Vous espérez que le chaman reviendra sain et sauf, guidé par les esprits.;;;;;;;;;;;;x
shaman.3.a;Bom, bom... the sounds of the drum fill my head.;Bom, bom... les sons du tambour résonnent dans ma tête.;;;;;;;;;;;;x
shaman.4.tooltip;[Root.GetTitledFirstName] takes a seat nearby, carefully watching the Shaman.;[Root.GetTitledFirstName] s'assoit à proximité, surveillant attentivement le chaman.;;;;;;;;;;;;x
shaman.4.name;The Shaman's Journey;Le voyage du chaman;;;;;;;;;;;;x
shaman.4.desc;It is many hours later, and your Shaman is still beating the drum, dancing, wailing, screaming, crying, speaking gibberish, as the journey through the Spirit World proceeds. The Spirit World is a dangerous place, that much you know. The dramatic movements, the theatrical sounds, the over-the-top atmosphere, it is not without reason - how else can anyone communicate with the spirits? Much less, as someone from the land of the living, weather against the strain of going into the land of the dead?\n Amazing, is it not, that despite being “here,” the Shaman is truly now far, far away, across the mountains, forests, and plains, in the unforgiving world of the spirits? Despite your impatience, you remind yourself that your Shaman will return eventually, to tell you what the spirits wish to tell you.;Beaucoup d'heures plus tard, et votre chaman bat toujours le tambour, dansant, gémissant, hurlant, criant, pleurant, parlant en charabia, au fur et à mesure que le voyage à travers le monde des Esprits se poursuit. Le monde des esprits est un endroit dangereux, vous le savez. Les mouvements dramatiques, les sons théâtraux, l'atmosphère débordante, ce n'est pas sans raison - comment communiquer autrement avec les esprits ? Par ailleurs, comment une personne venant du monde des vivants fait-elle pour lutter contre le stress dans la terre des morts ?\nIncroyable, malgré le fait qu'il soit "ici", le chaman est vraiment maintenant loin, très loin, à travers les montagnes, les forêts et les plaines, dans le monde impitoyable des esprits ? Malgré votre impatience, vous vous rappelez que votre chaman finira par revenir, pour vous dire ce que les esprits souhaitent vous dire.;;;;;;;;;;;;x
shaman.4.a;Waiting is all I can do, for now.;Attendre est tout ce que je peux faire, pour l'instant.;;;;;;;;;;;;x
shaman.5.tooltip;The wait continues.;L'attente se poursuit.;;;;;;;;;;;;x
shaman.5.name;The Shaman Returns;Le chaman revient;;;;;;;;;;;;x
shaman.5.desc;The trance rhythm - drumming, singing, yelling, wailing, dancing - begins to slow down. The Shaman almost collapses out of exhausting, but manages to stand up. You wait a few minutes to allow your Shaman some time to rest, before you engage in conversation.\n“I have returned, and the spirits have spoken,” your Shaman says, tired, yet relaxed. Your Shaman rests a moment before continuing, “The journey was arduous, but worthwhile. The spirits told me many things... where to begin?”;Le rythme - des tambours, des chants, des hurlements, des gémissements, des danses - commence à ralentir. Le chaman s'effondre presque épuisement, mais réussit à se relever. Vous attendez quelques minutes pour laisser votre chaman se reposer un peu avant d'entamer la conversation.\n"Je suis revenu, et les esprits ont parlé", dit votre chaman, fatigué et pourtant détendu. Votre chaman se repose un moment avant de continuer : "Le voyage a été ardu, mais il en valait la peine. Les esprits m'ont dit beaucoup de choses... par où commencer ?";;;;;;;;;;;;x
shaman.5.a;Go on. Take your time...;Allez-y. Prenez votre temps...;;;;;;;;;;;;x
shaman.6.desc;“Your marital life is blessed for now, the spirits told me,” your Shaman says. “Harmony rules your house. But the spirits also warned that you must be cautious - a peaceful house can quickly turn violent and destructive if not carefully watched. To ensure continued prosperity you must...”;"Votre vie conjugale est bénie pour l'instant, m'ont dit les esprits", dit votre chaman. "L'harmonie règne sur votre maison. Mais les esprits ont aussi averti que vous devez être prudents - une maison paisible peut rapidement devenir violente et destructrice si elle n'est pas surveillée de près. Pour assurer une prospérité continue, vous devez...";;;;;;;;;;;;x
shaman.6.a;Hmm...;Hmm...;;;;;;;;;;;;x
shaman.7.desc;“The spirits were dark when they told me,” your Shaman continues, “that much caution should be exercised with your current marital life. There may be strife if you are not careful, and one of your wisest ancestors told me that this strife may have already begun. Be very cautious.”;"Les esprits étaient sombres quand ils m'ont parlé", poursuit votre chaman, "qu'il fallait faire preuve de beaucoup de prudence dans votre vie conjugale actuelle.Il peut y avoir des querelles si vous ne faites pas attention, et un de vos plus sages ancêtres m'a dit que ces querelles ont peut-être déjà commencé. Soyez très prudent.";;;;;;;;;;;;x
shaman.7.a;Oh my... so what can I do to reduce strife?;Et qu-... Que puis-je faire pour réduire les conflits ?;;;;;;;;;;;;x
shaman.8.desc;“You currently hold a lonely existence without a spouse, the spirits know this much,” the Shaman says. “They have said that the loneliness will end soon if you stay true to your duties as a [Root.GetManWoman] and a [Root.GetTitle]. Take heed of their advice, and you will live well with a spouse.”;"Vous menez actuellement une existence solitaire sans conjoint, les esprits le savent aussi," dit le chaman. "Ils ont dit que la solitude cessera bientôt si vous restez fidèle à vos devoirs en tant que [Root.GetManWoman] et [Root.GetTitle]. Suivez leurs conseils et vous vivrez bien avec votre conjoint.";;;;;;;;;;;;x
shaman.8.a;My duties, huh? Tell me their advice, then.;Mes devoirs, hein? Dites-moi leur conseil, alors.;;;;;;;;;;;;x
shaman.9.desc;“Your ancestors recognize that you are currently unmarried,” your Shaman tells you. “They are uncertain whether this loneliness will end, even if you do get married. You do want to avoid trouble with such relationships in the future, of course, so the ancestors have suggested some advice.”;"Vous menez actuellement une existence solitaire sans conjoint, les esprits le savent aussi," dit le chaman. "Ils ne savent pas si cette solitude cessera, même si vous vous mariez. Vous voulez éviter les ennuis avec de telles relations à l'avenir, bien sûr, donc les ancêtres ont suggéré quelques conseils.";;;;;;;;;;;;x
shaman.9.a;Dead spirits always give the best love advice.;Les esprits morts donnent toujours les meilleurs conseils d'amour.;;;;;;;;;;;;x
shaman.10.desc;“Great things may be in store for your grown children, the spirits have said.” Your Shaman pauses, before continuing, “They believe that one of your children will prove themselves worthy. This is an auspicious time for them. Even if they died, their spirit would bring blessings to your dynasty.”;"Beaucoup de choses peuvent arrivé à vos enfants un fois devenu adultes ont dit les esprits." Votre chaman s'interrompt, avant de continuer:"Ils croient que l'un de vos enfants se révélera digne. C'est un moment propice pour eux. Même s'ils mouraient, leur esprit apporterait des bénédictions à votre dynastie.";;;;;;;;;;;;x
shaman.10.a;Did the spirits offer any suggestions on childbearing?;Les esprits ont-ils fait des suggestions sur la procréation ?;;;;;;;;;;;;x
shaman.11.desc;“The spirits were most concerned about your children,” your Shaman says. “Does this mean that disaster will befall them? They do not know for certain. But what is certain is that utter care must be taken handling your children, for they are not prospering in these trying times.”;"Les esprits étaient très inquiets pour vos enfants", dit votre chaman. "Cela signifie-t-il que le désastre leur arrivera ? Ils ne savent pas avec certitude. Mais ce qui est certain, c'est qu'il faut prendre soin de vos enfants, car ils ne prospèrent pas en ces temps difficiles.";;;;;;;;;;;;x
shaman.11.a;My poor children... What I can do to make things better?;Mes pauvres enfants... Que puis-je faire pour améliorer les choses ?;;;;;;;;;;;;x
