#Shaman Stuff ;;;;;;;;;;;;;;x
finnish.6.desc;Glorious! The bear has been killed. But before all of you can celebrate, you must all tell the bear that it was slain not by the hunters, but in an accident. This is so the bear’s soul will be happy so it can reincarnate properly - otherwise, the hunt and feast will be in vain.\n“It wasn’t I who met you, the bear, or any the rest of my mates,” you sing, along with the other men. “You, yourself, fell off the spruce, slipped from the bent bough yourself, pierced your berry-filled belly, shattered your golden maw...” Hopefully you will convince the bear’s soul for now, but only a proper ceremony back home during the Karhunpeijaiset will ensure for certain that the bear’s soul is placated.;Glorieux ! L'ours a été tué. Mais avant que vous puissiez tous faire la fête, vous devez tous dire à l'ours qu'il a été tué non pas par les chasseurs, mais dans un accident. C'est ainsi que l'âme de l'ours sera heureuse pour qu'il puisse se réincarner correctement - autrement, la chasse et la fête seront vaines.\n"Ce n'est pas moi qui vous ai rencontrés, l'ours ou tout autre membre de mes camarades", vous chantez, avec les autres hommes. "Vous êtes vous même tombé de l'épinette, vous avez glissé de la branche cassé, vous avez percé votre ventre rempli de baies, vous avez brisé votre gueule d'or..." Espérons que vous convaincrez l'âme de l'ours pour le moment, mais seule une cérémonie correcte à la maison pendant le Karhunpepeijaiset vous assurera que l'âme de l'ours est apaisée.;;;;;;;;;;;;x
finnish.6.a;It’s time to go back home, then...;Il est temps de rentrer à la maison, alors...;;;;;;;;;;;;x
finnish.7.tooltip;The journey back home begins.;Le voyage de retour commence.;;;;;;;;;;;;x
finnish.7.name;The One with Rough Fur Arrives;Celui qui a la fourrure arrive;;;;;;;;;;;;x
finnish.7.desc;The journey home was even more arduous, though more so because you had to carry the bear’s corpse back and mark your route by slicing off slivers of tree bark. But eventually, you make your way back home, where you are greeted by the whole community.\n“The one with rough fur has arrived!” you and your men shout, careful not to say the actual word for ‘bear’ (the word for such a holy animal is only properly used during hymns after all). “The one with rough fur has arrived! Make way, boys and girls, make way!”\nMeanwhile, some people speak to the bear, to ensure, once more, that its spirit is happy. “We have been awaiting your arrival!” “We are delighted to have you with us!” “Oh, great one with rough fur, we have prepared a lavish feast in your honor!”;Le voyage de retour à la maison était encore plus ardu, mais surtout parce que vous deviez ramener le cadavre de l'ours et marquer votre route en découpant des morceaux d'écorce d'arbre. Mais finalement, vous rentrez chez vous, où toute la communauté vous accueille.\n"Celui avec de la fourrure est arrivé !" vous et vos hommes criez, en prenant garde de ne pas dire le mot même "d'ours" (le mot pour un tel animal sacré n'est utilisé que dans les hymnes, après tout). "Celui avec de la fourrure est arrivé ! Laissez passer, les garçons et les filles, laissez passer !"\nPendant ce temps, certains parlent à l'ours pour s'assurer que son esprit est heureux. " "Nous attendions votre arrivée !" "Nous sommes ravis de vous avoir parmi nous !" "Oh, grand homme à la fourrure, nous avons préparé un festin somptueux en votre honneur !";;;;;;;;;;;;x
finnish.7.a;Now let’s bring it inside.;Maintenant, amenons-le à l'intérieur.;;;;;;;;;;;;x
finnish.8.tooltip;The great bear feast, Karhunpeijaiset, soon begins!;La grande fête de l'ours, Karhunpeijaiset, commence bientôt!;;;;;;;;;;;;x
finnish.8.name;Karhunpeijaiset;Karhunpeijaiset;;;;;;;;;;;;x
finnish.8.desc;Thankfully everyone back home prepared well for the feast while you and the men were away. It is only a short wait before the bear is cooked. The bear’s head, the skull dish, is placed first at the top of the table before you - the bear’s head is the most sacred, so it is only proper. Then, the other dishes are placed, including the main meal, a special pea soup made with the bear’s head, paws, and other magical parts of its body.\nAs you and everyone else feasts, you all sing a hymn. “I'll take the Bear’s ear for my own ear, along with the ear before, to sharpen my own hearing...”;Heureusement, tout le monde s'est bien préparé pour la fête pendant que vous et les hommes étiez partis. Il suffit d'une courte attente avant que l'ours ne soit cuit. La tête de l'ours, le plat du crâne, est placé d'abord en haut de la table avant vous - la tête de l'ours est la plus sacrée, c'est évident. Ensuite, les autres plats sont placés, y compris le repas principal, une soupe aux pois spéciale faite avec la tête de l'ours, les pattes, et d'autres parties magiques de son corps.\nComme vous et tous les autres, vous festoyez et vous chantez un hymne. "Je remplacerai mon oreille par l'oreille de l'Ours, pour aiguiser ma propre ouïe...";;;;;;;;;;;;x
finnish.8.a;“I'll take the Bear’s nose and leave him with no scent...”;"Je vais prendre le nez de l'Ours et je ne laisserai aucune odeur...";;;;;;;;;;;;x
finnish.9.tooltip;The feasting continues;La fête continue;;;;;;;;;;;;x
finnish.9.name;Burying the Bones;Enterrer les os;;;;;;;;;;;;x
finnish.9.desc;The feast is finished after many days of eating and drinking. There too were many amusements, and everyone (including you) had to perform something for everyone else, be it singing, storytelling, joking, or something else. Nevertheless, the Bear’s body has been picked clean, with nothing but bones left. These bones must be buried, while the skull will be placed high on the branches of a special ‘kallohonka’ or skull tree.\nEveryone sings the proper hymns as the bear’s skull and bones are carried to the designated burial site. “Golden one, get on your way, money precious get moving, along the golden lane, along the silver road! You'll not be taken far from here...”;La fête est terminée après de nombreux jours de repas et de boissons. Il y avait aussi beaucoup de divertissements, et tout le monde (y compris vous) devait jouer quelque chose pour tout le monde, que ce soit chanter, raconter des histoires, plaisanter ou autre chose. Néanmoins, le corps de l'ours a été nettoyé, il ne reste plus que des os. Ces os doivent être enterrés, tandis que le crâne sera placé haut sur les branches d'un kallohonka spécial ou d'un crâne.\n Tout le monde chante les hymnes appropriés comme le crâne de l'ours et les os sont transportés au site d'enterrement désigné. "Celle en or, continuez votre route, l'argent précieux se déplace, tout au long de la voie en or, le long de la route d'argent ! Vous ne serez pas loin d'ici...";;;;;;;;;;;;x
finnish.9.a;“Just to a pine tree on a hill, a juniper at the field's far edge...”;"Juste à un pin sur une colline, un genévrier à l'autre bout du champ...";;;;;;;;;;;;x
finnish.10.tooltip;The Karhunpeijaiset comes to an end.;Le Karhunpeijaiset prend fin.;;;;;;;;;;;;x
finnish.10.desc;So ends the bear hunt and Karhunpeijaiset or bear feast. You, the hunters, the accompanying orphan girl, and everyone else congratulate each other on a job well done. The bear’s skull will stay on the pine tree for years to come, and remind all of this moment.;Ainsi finit la chasse à l'ours et le Karhunpeijaiset ou la fête de l'ours. Vous, les chasseurs, la fille orpheline qui l'accompagne et tous les autres se félicitent pour le travail bien fait. Le crâne de l'ours restera sur le pin pour les années à venir, et tout le monde se rappellera de ce moment.;;;;;;;;;;;;x
finnish.10.a;It is time to return to normal life, unfortunately...;Il est temps de revenir à une vie normale, malheureusement...;;;;;;;;;;;;x
finnish.11.desc;The local shamans have identified the local Haltija, or guardian spirits, who protect the province of [Root.GetName]. You’ve just visited there to give them offerings and pray that they will prove amiable and helpful.;Les chamans locaux ont identifié les Haltija locaux, ou esprits gardiens, qui protègent la province de [Root.GetName]. Vous venez de vous y rendre pour leur donner des offrandes et prier pour qu'ils soient aimables et serviables.;;;;;;;;;;;;x
finnish.11.a;Let’s hope this works...;Espérons que ça marche...;;;;;;;;;;;;x
finnish.12.desc;The province of [Root.GetName] was once controlled by Finnish Pagans who believed in the Haltija, or guardian spirits. However, our beliefs have nothing to do with such superstition, and there is no need to appease these “spirits” no matter what the peasants say.;La province de [Root.GetName] était autrefois contrôlée par des païens finlandais qui croyaient aux Haltija, ou esprits gardiens. Cependant, nos croyances n'ont rien à voir avec une telle superstition, et il n'est pas nécessaire d'apaiser ces "esprits" quoi que disent les paysans.;;;;;;;;;;;;x
finnish.12.a;Bah!;Bah !;;;;;;;;;;;;x
finnish.13.desc;Local shamans from the province of [Root.GetName] report that the Haltija, or guardian spirits, are becoming more and more receptive to our presence there. This is perhaps a good thing, as kind and cooperative Haltija ensure that the land will prosper and the people live in peace and stability.;Les chamans locaux de la province de [Root.GetName] rapportent que les esprits Haltija, ou esprits gardiens, sont de plus en plus réceptifs à notre présence là-bas. C'est peut-être une bonne chose, car la gentillesse et la coopération des Haltija font en sorte que la terre prospère et que les gens vivent en paix et dans la stabilité.;;;;;;;;;;;;x
finnish.13.a;Let us hope this continues.;Espérons que cela se poursuive.;;;;;;;;;;;;x
finnish.14.desc;Local shamans from the province of [Root.GetName] report that the Haltija, or guardian spirits, are becoming less and less welcoming of our presence there. What sort of things could have gone wrong? While this does not entail disaster, we must remain cautious and friendly towards the Haltija there.;Les chamans locaux de la province de [Root.GetName] rapportent que les esprits Haltija, ou esprits gardiens, deviennent de moins en moins accueillants de notre présence là-bas. Quel genre de choses aurait pu mal tourner ? Bien que cela n'entraîne pas de désastre, nous devons rester prudents et amicaux à l'égard des Haltija.;;;;;;;;;;;;x
finnish.14.a;Hopefully the situation changes soon.;J'espère que la situation changera bientôt.;;;;;;;;;;;;x
finnish.15.desc;In order to improve your relationship with the Haltija throughout your demesne, you have decided to make some offerings to them. You decide to gather beautiful flowers, fragrant wood, good food, and whatever else you can think of in preparation for this offering.;Afin d'améliorer votre relation avec les Haltija dans votre domaine, vous avez décidé de leur faire des offrandes. Vous décidez de cueillir de belles fleurs, du bois parfumé, de la bonne nourriture et tout ce que vous pouvez imaginer en préparation à cette offrande.;;;;;;;;;;;;x
finnish.15.a;Hopefully this works...;Espérons que cela marche...;;;;;;;;;;;;x
finnish.16.tooltip;You, the Shamans, and other important persons gather to make the offerings.;Vous, les chamans et d'autres personnes importantes vous réunissez pour faire les offrandes.;;;;;;;;;;;;x
finnish.16.desc;You and your Shaman, along with a few others, gather before the sacred site and make the offerings to the Haltija. You all chant hymns and praise the Haltija, before retiring for the night. Several days later, your Shaman comes to you to duly report how the Haltija thought of the gifts.;Vous et votre chaman, ainsi que quelques autres, vous vous réunissez devant le lieu sacré et faites des offrandes aux Haltija. Vous chantez tous des hymnes et louez les Haltija, avant de vous retirer pour la nuit. Quelques jours plus tard, votre chaman vient à vous pour vous rapporter comment les Haltija pensaient des cadeaux.;;;;;;;;;;;;x
finnish.16.a;Did they like it?;Ils ont aimé ?;;;;;;;;;;;;x
finnish.17.tooltip;The Haltija reject the offerings.;Les Haltija rejettent les offrandes.;;;;;;;;;;;;x
finnish.17.desc;Your Shaman tells you that the Haltija throughout your demesne rejected your offerings, and do not appreciate what they view as a dishonest attempt to appease them. This does not mean they will be malevolent towards us, but we should not expect our relationship with them to improve.;Votre chaman vous dit que les Haltija dans votre domaine ont rejeté vos offrandes, et n'apprécient pas ce qu'ils considèrent comme une tentative malhonnête de les apaiser. Cela ne signifie pas qu'ils seront malveillants à notre égard, mais nous ne devons pas nous attendre à ce que nos relations avec eux s'améliorent.;;;;;;;;;;;;x
finnish.17.a;Not good.;C'est pas bon.;;;;;;;;;;;;x
finnish.18.tooltip;The Haltija accept the offerings but are neutral.;Les Haltija acceptent les offrandes mais sont neutres.;;;;;;;;;;;;x
finnish.18.desc;Your Shaman reports that while the Haltija throughout your demesne accepted your offerings, they still seem to be a bit reluctant to change their current stance with us. At the least, they do appear to appreciate the gifts. ;Votre chaman rapporte que même si les Haltija ont accepté vos offrandes dans votre domaine, ils semblent encore un peu réticents à changer leur position actuelle avec nous. Au moins, ils semblent apprécier les cadeaux.;;;;;;;;;;;;x
finnish.18.a;Alright.;Très bien.;;;;;;;;;;;;x
finnish.19.tooltip;The Haltija appreciate the offerings.;Les Haltija apprécient les offrandes.;;;;;;;;;;;;x
finnish.19.desc;Your Shaman says that the Haltija throughout your demesne seem to be very receptive to your offerings and appreciate your gesture of goodwill. Perhaps your relationship with them will continue to improve.;Votre chaman dit que les Haltija dans votre domaine, semble être très réceptif à vos offrandes et apprécie votre geste de bonne volonté. Peut-être que votre relation avec eux continuera de s'améliorer.;;;;;;;;;;;;x
finnish.19.a;Great to hear.;C'est bon à entendre;;;;;;;;;;;;x
finnish.20.tooltip;Your parent's soul is unhappy despite your efforts and might cause a bit of trouble.;L'âme de votre parent est malheureuse malgré vos efforts et pourrait causer un peu de problèmes.;;;;;;;;;;;;x
finnish.20.name;An Unhappy Soul;Une âme malheureuse;;;;;;;;;;;;x
finnish.20.desc;Your deceased parent continues to stir up trouble despite your karsikko marking. Why is the soul coming back unhappy? The local Shamans say it doesn’t seem to be too serious a case, and once your parent’s soul calms down, they should be able to go to the spirit world, Tuonela, peacefully.\nUntil then, however, the Shamans say you should try to show as much respect as you can, to reassure and pacify the soul. For instance, you and your relatives will not speak ill of the deceased, and doing small sacrifices and offerings here and there.;Votre parent décédé continue de causer des ennuis malgré votre marquage karsikko. Pourquoi l'âme reviens malheureuse ? Les chamans locaux disent que ce n'est pas un cas trop grave, et une fois que l'âme de votre parent se sera calmée, ils devraient pouvoir aller dans le monde des esprits, Tuonela, pacifiquement. Jusque-là, cependant, les chamans disent que vous devriez essayer de montrer le plus de respect possible, pour rassurer et pacifier l'âme. Par exemple, vous et vos proches ne direz pas du mal du défunt, vous ferez des petits sacrifices et des petites offrandes ici et là.;;;;;;;;;;;;x
finnish.20.a;I hope this all works!;J'espère que tout ça marchera !;;;;;;;;;;;;x
finnish.21.tooltip;It's time to put the Bear's skull up on the Kallohonka tree.;Il est temps de mettre le crâne de l'ours sur l'arbre Kallohonka.;;;;;;;;;;;;x
finnish.21.name;Kallohonka - the Skull Tree;Kallohonka - L'arbre crâne;;;;;;;;;;;;x
finnish.21.desc;The bones have been buried, but the skull must be placed upon a tree to help deliver the bear’s soul back to the heavens, where it can then reincarnate back to the earth where it can walk again. You and the rest of the hunters come before the bear, and sing once more to reassure the bear that you did not wickedly slay it, and that the bear had been treated honorably as befits such a holy animal.\nYou continue your singing as the skull is carefully raised to the top of the pine tree. “I set this bear on a pure clean tree, right in the smallest pine, a fir tree with a hundred sprigs. I set it there to watch the moon, I set it there to fix its eyes on the sun...”;Les os ont été enterrés, mais le crâne doit être placé sur un arbre pour aider à restituer l'âme de l'ours au ciel, où il peut ensuite se réincarner sur terre où il peut marcher de nouveau. Vous et le reste des chasseurs vous présentez devant l'ours, et vous chantez une fois de plus pour le rassurer que vous ne l'avez pas méchamment tué, et que l'ours a été traité honorablement comme un animal si saint.\nVous continuez à chanter comme le crâne est soigneusement élevé au sommet du pin. "J'ai posé cet ours sur un arbre pur et propre, juste dans le plus petit pin, un sapin avec une centaine de branches. Je l'ai placé là pour regarder la lune, je l'ai placé là pour fixer ses yeux sur le soleil...";;;;;;;;;;;;x
finnish.21.a;“I set it there to know the Great Bear in the sky...”;"Je l'ai placé là pour connaître le Grand Ours dans le ciel...";;;;;;;;;;;;x
finnish.22.desc;The orphan girl who accompanies you and your men - she’s pretty. Really pretty. And she’s quite young, too. Indecent thoughts (some rather vivd) have filled your mind for the last few days about this fair virgin. Seducing her would be too easy, and since she’s a peasant, there won’t be any consequences.;La fille orpheline qui vous accompagne, vous et vos hommes, est jolie. Vraiment très jolie. Et elle est très jeune aussi. Des pensées indécentes (certaines plutôt vivantes) ont rempli votre esprit depuis quelques jours à propos de cette belle vierge. La séduire serait trop facile, et comme c'est une paysanne, il n'y aura pas de conséquences.;;;;;;;;;;;;x
finnish.22.a;No. I’m on a holy journey, I cannot do this... for now.;Non. Je suis en voyage sacré, je ne peux pas faire ça... pour l'instant.;;;;;;;;;;;;x
finnish.22.b;It’s time to make my move, hehe...;Il est temps pour moi de faire un mouvement, héhé...;;;;;;;;;;;;x
finnish.23.tooltip;My fantasies shall become reality...;Mes fantasmes deviendront réalité...;;;;;;;;;;;;x
finnish.23.desc;As you figured, the orphan girl fell for you and your honeyed words. She has no experience with men, does she? One night, you and the girl sneak away to a secluded area of the forest. Setting her gently on the ground, you say sweet nothings while admiring her lovely form.;Comme vous l'avez imaginez, l'orpheline est tombée amoureuse de vous et de vos mots mielleux. Elle n'a aucune expérience avec les hommes, n'est-ce pas ? Un soir, vous et la fille vous fuyez dans un endroit isolé de la forêt. En la posant doucement sur le sol, vous dites de douces choses tout en admirant sa belle forme.;;;;;;;;;;;;x
finnish.23.a;Let me teach you a few things...;Laisse-moi t'apprendre quelques trucs...;;;;;;;;;;;;x
finnish.24.desc;The orphan girl who accompanies you and your men proves to be a very spiritual sort. She’s always praying or chanting hymns - no wonder she was chosen for this! While talking with her by the campfire one night, she says how grateful she is for this opportunity to be part of this great event.;La fille orpheline qui vous accompagne et vos hommes s'avère être un être très spirituelle. Elle est toujours en train de prier ou de chanter des hymnes - pas étonnant qu'elle ait été choisie pour cela ! Un soir, en discutant avec elle au coin du feu de camp, elle vous dit à quel point elle est reconnaissante d'avoir eu l'occasion de participer à ce grand événement.;;;;;;;;;;;;x
finnish.24.a;The gods will be honored by your presence.;Les dieux seront honorés de votre présence.;;;;;;;;;;;;x
finnish.24.b;This probably doesn’t do much for the gods to begin with.;Cela ne fait probablement pas grand-chose pour les dieux.;;;;;;;;;;;;x
finnish.25.desc;To your surprise, the orphan girl who accompanied you appears to be quite skilled in handling bow and arrow. “My father was a skilled hunter. He taught me a lot before he died,” she explains. “I know it’s not my place to actually hunt the bear, but I can teach you a few of my father’s tricks.”;A votre grande surprise, la fille orpheline qui vous a accompagné semble très habile dans la maîtrise de l'arc et des flèches. "Mon père était un chasseur habile. Il m'a beaucoup appris avant de mourir", explique-t-elle. "Je sais que ce n'est pas à moi de chasser l'ours, mais je peux vous apprendre quelques trucs de mon père.";;;;;;;;;;;;x
finnish.25.a;Sure, that sounds great.;Bien sûr, ça a l'air génial.;;;;;;;;;;;;x
finnish.26.desc;“Look what you’ve done,” one of the men tell me, “You’ve made the girl cry and run away. How are we supposed to hunt the bear if we don’t have an orphan girl? Since you were the one who mocked her, you should go and find her.” Bah! I can be a lot worse if I want to, but come on...;"Regarde ce que vous avez fait", dit l'un de vos homme, "vous avez fait pleurer la fille et elle s'est enfuie. Comment allons-nous chasser l'ours si on n' a pas d'orpheline ? Puisque c'est vous qui vous êtes moqué d'elle, vous devriez aller la chercher." Bah ! Je peux être bien pire si je veux, mais bon...;;;;;;;;;;;;x
finnish.26.a;What a moronic wench, that orphan girl!;Quelle conne, cette orpheline !;;;;;;;;;;;;x
finnish.27.tooltip;Now which direction did that girl run off in again?;Dans quelle direction cette fille s'est-elle enfuie déjà ?;;;;;;;;;;;;x
finnish.27.desc;I find the orphan sitting on a tree stump a far distance away. She notices me as I approach and turns away, probably scared. Gah! How troublesome, that I have to be so gentle and soft, just because she’s that important. Still, maybe I should really apologize. I kind of feel bad for her.;Je trouve l'orpheline assise sur une souche d'arbre très loin. Elle me remarque à l'approche et se détourne, probablement effrayée. Argh ! Comme c'est pénible d'être aussi doux parce qu'elle est importante. Je devrais quand même m'excuser. Je me sens un peu mal pour elle.;;;;;;;;;;;;x
finnish.27.a;Nah, I’m not that soft. I shout, “Get back here, you wench!”;Non, je ne suis pas si doux. J'ai crié :"Reviens ici, salope !";;;;;;;;;;;;x
finnish.27.b;I sit down next to her to make my first honest apology in a while.;Je m'assieds à côté d'elle pour faire mes premières excuses honnêtes depuis un moment.;;;;;;;;;;;;x
finnish.28.desc;There’s something about the orphan girl accompanying you and the men that you find attractive. Not in a lustful way, of course, but as a person, one who invites a lot of sympathy. For an orphaned peasant, and a young one, she’s been through and seen a lot.;Il y a quelque chose à propos de l'orpheline qui vous accompagne et des hommes que vous trouvez attirants. Pas d'une manière luxuriante, bien sûr, mais en tant que personne, quelqu'un qui invite beaucoup de sympathie. Pour une paysanne orpheline et jeune, elle a traversé une période difficile.;;;;;;;;;;;;x
finnish.28.a;She’s a real survivor, she is.;C'est une vraie survivante.;;;;;;;;;;;;x
finnish.29.tooltip;[Root.GetTitledFirstName] befriends the orphan and gets to know her better.;[Root.GetTitledFirstName] se lie d'amitié avec l'orpheline et apprend à mieux la connaître.;;;;;;;;;;;;x
finnish.29.desc;You and the orphan girl seem to get along pretty well, despite the difference in age and social status. She seems like a really gifted child of sharp mind and pure heart. “I’m glad you were chosen for this task,” you tell her. “A clever and kind woman is the one needed for something like this.”;Vous et l'orpheline semblez bien vous entendre, malgré la différence d'âge et de statut social. Elle a l'air d'une enfant très douée, à l'esprit vif et au coeur pur. "Je suis content que vous avez été choisi pour cette tâche", lui dites-vous, "Une femme intelligente et gentille est celle qu'il faut pour quelque chose comme ça.";;;;;;;;;;;;x
finnish.29.a;I admit her smile is kind of infectious.;J'admets que son sourire est contagieux.;;;;;;;;;;;;x
finnish.30.tooltip;I should do something for this girl.;Je devrais faire quelque chose pour cette fille.;;;;;;;;;;;;x
finnish.30.desc;You decide to give the orphan some of your belongings and valuables as a gift. A good person like her needs all the help she can get. Though she refuses your gift at first, she finally relents and happily accepts your help. It’s the least you can do for her.;Vous décidez de donner à l'orpheline certains de vos biens et objets de valeur en cadeau. Une bonne personne comme elle a besoin de toute l'aide possible. Bien qu'elle refuse d'abord votre don, elle finit par céder et accepte avec joie votre aide. C'est le moins que vous puissiez faire pour elle.;;;;;;;;;;;;x
finnish.30.a;I hope it’ll serve you well.;J'espère que ça vous servira bien.;;;;;;;;;;;;x
finnish.31.desc;It’s been a while since the Karhunpeijaiset, but lately I’ve been thinking about the orphan girl I befriended. Quite precocious and sweet, she was. Can she survive out there, even with the rather generous gift I gave? I think I have to seek her out and see how she’s doing...;Cela fait longtemps que le Karhunpeijaiset ne s'est pas produit, mais dernièrement, j'ai pensé à la fille orpheline avec qui je me suis lié d'amitié. Elle était très précoce. Peut-elle survivre là-bas, même avec le don généreux que j'ai fait? Je pense que je dois la chercher et voir comment elle va...;;;;;;;;;;;;x
finnish.31.a;Where to start?;Par où commencer ?;;;;;;;;;;;;x
finnish.32.tooltip;[Root.GetTitledFirstName] tries to find out where the orphan girl lives.;[Root.GetTitledFirstName] essaie de trouver où vit l'orpheline.;;;;;;;;;;;;x
finnish.32.desc;Thankfully the peasants I met were rather helpful, and I was able to quickly locate the orphan girl, who lived in a little shack at the edge of a small village. She is shocked to see you, but greets you and your guards warmly, if a little embarrassingly, given the meagre state she lives in.;Heureusement, les paysans que j'ai rencontrés m'ont beaucoup aidé, et j'ai pu trouver rapidement l'orpheline, qui vivait dans une petite cabane à la lisière d'un petit village. Elle est choquée de vous voir, mais vous salue chaleureusement, vous et vos gardes, même si c'est un peu gênant, étant donné le maigre état dans lequel elle vit.;;;;;;;;;;;;x
finnish.32.a;Your house is very... um... nice.;Votre maison est très... euh... sympa.;;;;;;;;;;;;x
finnish.33.tooltip;[Root.GetTitledFirstName] talks with the orphan for a bit.;[Root.GetTitledFirstName] parle avec l'orpheline pendant un moment.;;;;;;;;;;;;x
finnish.33.desc;My chat with the orphan goes by pleasantly. Suddenly, she says, beaming, “You’ve been so kind to me. You remind me of my father, who was a very kind man, though I don’t remember much about him.” At that moment, an indescribable, uncontrollable emotion overwhelms me, though I manage to hide it.;Ma conversation avec l'orpheline passe agréablement. Tout à coup, dit-elle, rayonnante, "Vous avez  été si gentil avec moi. Vous me rappelez mon père, qui était un homme très gentil, bien que je ne me souvienne pas beaucoup de lui." A ce moment-là, une émotion indescriptible et incontrôlable me submerge, bien que je parvienne à la cacher.;;;;;;;;;;;;x
finnish.33.a;This child can’t live by herself like this!;Cette enfant ne peut pas vivre toute seule comme ça !;;;;;;;;;;;;x
finnish.34.tooltip;Perhaps I should adopt her!;Je devrais peut-être l'adopter !;;;;;;;;;;;;x
finnish.34.desc;My heart is set. If this orphan were a boy, I might not be able to do this without some political consequences, but I think I’ll adopt her. She’s kind and clever, and doesn’t deserve to live alone and impoverished like this. Being so sharp, she’ll easily learn how to act like a proper daughter of a [Root.GetTitle].;Mon cœur bat la chamade. Si cet orpheline était un garçon, je ne pourrais peut-être pas le faire sans conséquences politiques, mais je pense que je l'adopterai. Elle est gentille et intelligente, elle ne mérite pas de vivre seule et appauvrie comme ça. Etant si pointue, elle apprendra facilement à se comporter comme une fille d'un [Root.GetTitle].;;;;;;;;;;;;x
finnish.34.a;I tell her, “You won’t have to live like this much longer...”;Je lui dis : "Tu n'auras plus à vivre comme ça longtemps...";;;;;;;;;;;;x
hold_bear_hunt;Hold a Bear Hunt;Tenir une Chasse à l'Ours;;;;;;;;;;;;x
hold_bear_hunt_desc;Hold a hunt for a great Bear and the subsequent Karhunpeijaiset feast;Tenir une chasse pour un grand ours et ensuite le festin de Karhunpeijaiset;;;;;;;;;;;;x
make_offerings_to_haltija;Make Offerings to the Haltija;Offrir des offrandes aux Haltija;;;;;;;;;;;;x
make_offerings_to_haltija_desc;Make offerings to the Haltija of the realm in order to improve your relationship with them;Offrez des offrandes aux Haltija du royaume afin d'améliorer votre relation avec eux.;;;;;;;;;;;;x
sxxxxxxxxxxxx;xxxxx;xxxxx;;;;;;;;;;;;x
